id,MakeText,TypeName,TypeNameFull,ModelText,ModelTypeText,Properties,InteriorColorText,ConsumptionRatingText,Km,BodyColorText,TransmissionTypeText,Seats,DriveTypeText,City,Ccm,FirstRegMonth,FirstRegYear,FuelTypeText,ConsumptionTotalText,Co2EmissionText,Hp,Doors,BodyTypeText,ConditionTypeText
705.0,MERCEDES-BENZ,ML 500 4Matic,MERCEDES-BENZ ML 500 4Matic,ML 500,ML 500 4Matic,"\"Ab MFK\"",beige,G,1,schwarz mét.,Automat sequentiell,5,Allrad,Zuzwil,4966,3,2007,Benzin,13.4 l/100km,319 g/km,306,5,,SUV / Geländewagen
459.0,OPEL,Speedster 2.0 16V Turbo,OPEL Speedster 2.0 16V Turbo,SPEEDSTER,Speedster 2.0 16V Turbo,"\"Ab MFK\", \"Tuning\"",schwarz,G,11700,rot,Schaltgetriebe manuell,2,Hinterradantrieb,Zuzwil,1998,6,2003,Benzin,8.5 l/100km,202 g/km,200,2,,Cabriolet
472.0,SAAB,9-3 2.0T Performance,SAAB 9-3 2.0T Performance,9-3,9-3 2.0T Performance,"\"Ab MFK\"",grau,null,104400,rot,Automatik-Getriebe,5,Vorderradantrieb,Zuzwil,1998,4,2005,Benzin,10.2 l/100km,239 g/km,252,4,,Limousine
672.0,McLAREN,MP4-12C 3.8 V8,McLAREN MP4-12C 3.8 V8,12C,MP4-12C 3.8 V8,"\"Ab MFK\"",schwarz,G,55,schwarz mét.,Automatisiertes Schaltgetriebe,2,Hinterradantrieb,Zuzwil,3798,6,2012,Benzin,11.7 l/100km,279 g/km,625,2,,Coupé
807.0,AUDI,RS5 Coupé 4.2FSI quattro,AUDI RS5 Coupé 4.2FSI quattro,RS5,RS5 Coupé 4.2FSI quattro,"\"Ab MFK\"",schwarz,G,31750,schwarz mét.,Automatisiertes Schaltgetriebe,4,Allrad,Zuzwil,4163,1,2011,Benzin,10.8 l/100km,252 g/km,450,2,,Coupé
1142.0,AGM,WLR,AGM WLR,,WLR,"\"Rennwagen\"",weiss,null,1,weiss mét.,Schaltgetriebe,2,Hinterradantrieb,Zuzwil,3499,1,2004,Benzin,null,null,250,0,,Cabriolet
251.0,MASERATI,Quattroporte 4.2,MASERATI Quattroporte 4.2,QUATTROPORTE,Quattroporte 4.2,"\"Ab MFK\"",beige,G,46050,grau,Automatisiertes Schaltgetriebe,5,Hinterradantrieb,Zuzwil,4244,6,2006,Benzin,15.8 l/100km,370 g/km,400,4,,Limousine
673.0,PORSCHE,Cayenne Turbo,PORSCHE Cayenne Turbo,CAYENNE,Cayenne Turbo,"\"Ab MFK\"",schwarz,G,18200,schwarz mét.,Automat,5,Allrad,Zuzwil,4806,4,2008,Benzin,14.9 l/100km,358 g/km,500,5,,SUV / Geländewagen
675.0,MERCEDES-BENZ,S 500,MERCEDES-BENZ S 500,S 500,S 500,"\"Ab MFK\"",schwarz,G,51000,schwarz mét.,Automat,5,Hinterradantrieb,Zuzwil,4966,10,1999,Benzin,12.5 l/100km,299 g/km,299,4,,Limousine
919.0,BMW,M5,BMW M5,M5,M5,"\"Ab MFK\"",schwarz,G,27800,silber mét.,Automatisiertes Schaltgetriebe,5,Hinterradantrieb,Zuzwil,4999,4,2005,Benzin,14.8 l/100km,357 g/km,503,4,,Limousine
942.0,MERCEDES-BENZ,S 65 AMG L,MERCEDES-BENZ S 65 AMG L,S 65 AMG,S 65 AMG L,"\"Ab MFK\"",schwarz,G,94000,silber mét.,Automat sequentiell,5,Hinterradantrieb,Zuzwil,5981,1,2007,Benzin,14.8 l/100km,null,612,4,,Limousine
1084.0,AUDI,A8 4.2 quattro,AUDI A8 4.2 quattro,A8,A8 4.2 quattro,"\"Ab MFK\"",beige,G,101300,weiss,Automat sequentiell,5,Allrad,Zuzwil,4172,9,2003,Benzin,12.0 l/100km,288 g/km,335,4,,Limousine
1135.0,BENTLEY,Continental FlyingSpur6.0,BENTLEY Continental FlyingSpur6.0,CONTINENTAL,Continental FlyingSpur6.0,"\"Ab MFK\"",schwarz,G,43000,weiss,Automat,4,Allrad,Zuzwil,5998,1,2006,Benzin,17.7 l/100km,423 g/km,560,4,,Limousine
116.0,AUDI,RS6 Avant 5.0 V10 quattro,AUDI RS6 Avant 5.0 V10 quattro,RS6,RS6 Avant 5.0 V10 quattro,"\"Ab MFK\"",schwarz,G,79700,blau mét.,Automat,5,Allrad,Zuzwil,4991,10,2008,Benzin,14.0 l/100km,333 g/km,580,5,,Kombi
233.0,FERRARI,Testarossa,FERRARI Testarossa,TESTAR./512,Testarossa,null,beige,null,31700,gelb mét.,Schaltgetriebe manuell,2,Hinterradantrieb,Zuzwil,4941,1,1989,Benzin,null,null,380,2,,Coupé
466.0,MERCEDES-BENZ,SL 500,MERCEDES-BENZ SL 500,SL 500,SL 500,null,anthrazit,G,36800,rot,Automat,2,Hinterradantrieb,Zuzwil,4966,6,2002,Benzin,12.7 l/100km,304 g/km,306,2,,Cabriolet
