carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
Kombi,black met.,,,,Zuzwil,,Mercedes-benz,,64100.0,kilometer,C 43 amg,C 43 AMG Sport,false,car,,,l_km_consumption
Cabriolet,silver met.,,,,Zuzwil,,Fiat,,120000.0,kilometer,Spider,CSA Abarth,false,car,,,
Kombi,blue met.,,,,Zuzwil,,Audi,,100.0,kilometer,Rs6,RS6 Avant 4.0 TFSI V8 qu,false,car,,,l_km_consumption
Coupé,yellow,,,,Zuzwil,,Toyota,,135800.0,kilometer,Mr2,MR2 2.0,false,car,,,
Limousine,black,,,,Zuzwil,,Seat,,53300.0,kilometer,Leon,Leon 2.0 TSI FR,false,car,,,l_km_consumption
SUV / Geländewagen,blue met.,,,,Zuzwil,,Bmw,,86200.0,kilometer,X3,X3 3.0i,false,car,,,l_km_consumption
Coupé,yellow,,,,Zuzwil,,Ferrari,,49000.0,kilometer,456,456M GT,false,car,,,l_km_consumption
Cabriolet,green met.,,,,Zuzwil,,Mercedes-benz,,84000.0,kilometer,Sl 63 amg,SL 63 AMG,false,car,,,l_km_consumption
Limousine,red,,,,Zuzwil,,Bmw,,29800.0,kilometer,M5,M5,false,car,,,l_km_consumption
Limousine,black,,,,Zuzwil,,Mercedes-benz,,118200.0,kilometer,C 180,C 180 Esprit,false,car,,,l_km_consumption
Kombi,black met.,,,,Zuzwil,,Saab,,117100.0,kilometer,9-5,9-5 2.3T Aero,false,car,,,l_km_consumption
Limousine,silver met.,,,,Zuzwil,,Audi,,66300.0,kilometer,A8,A8 4.2 quattro,false,car,,,l_km_consumption
Coupé,bordeaux met.,,,,Zuzwil,,Ferrari,,29300.0,kilometer,F430,F430,false,car,,,l_km_consumption
Cabriolet,anthrazit met.,,,,Zuzwil,,Mercedes-benz,,48700.0,kilometer,Sl 600,SL 600,false,car,,,
Cabriolet,black met.,,,,Zuzwil,,Chevrolet,,68200.0,kilometer,Corvette,Corvette 5.7 LT1 Convert.,false,car,,,l_km_consumption
Cabriolet,black met.,,,,Zuzwil,,Porsche,,74000.0,kilometer,911,911 Targa,false,car,,,l_km_consumption
SUV / Geländewagen,silver met.,,,,Zuzwil,,Porsche,,13700.0,kilometer,Cayenne,Cayenne Turbo,false,car,,,l_km_consumption
Coupé,gray met.,,,,Zuzwil,,Ferrari,,62000.0,kilometer,F550,F550 Maranello,false,car,,,l_km_consumption
Cabriolet,blue,,,,Zuzwil,,Mercedes-benz,,19999.0,kilometer,Sl 63 amg,SL 63 AMG,false,car,,,l_km_consumption
Cabriolet,silver met.,,,,Zuzwil,,Mercedes-benz,,21400.0,kilometer,Sl 55 amg,SL 55 AMG,false,car,,,l_km_consumption
Coupé,silver met.,,,,Zuzwil,,Lamborghini,,14990.0,kilometer,Diablo,Diablo 5.7 VT,false,car,,,
Limousine,white,,,,Zuzwil,,De tomaso,,68100.0,kilometer,Pantera,null,false,car,,,
Coupé,green met.,,,,Zuzwil,,Ferrari,,14500.0,kilometer,575m,NOVITEC,false,car,,,
Coupé,black,,,,Zuzwil,,Ford,,36100.0,kilometer,Capri,RS 2600,false,car,,,
Limousine,silver met.,,,,Zuzwil,,Audi,,67700.0,kilometer,A6,A6 2.4,false,car,,,l_km_consumption
Coupé,silver met.,,,,Zuzwil,,Wiesmann,,34600.0,kilometer,Coupe,GT MF5,false,car,,,l_km_consumption
Limousine,white,,,,Zuzwil,,Bentley,,85700.0,kilometer,Arnage,Red Label,false,car,,,
Kombi,blue met.,,,,Zuzwil,,Audi,,114200.0,kilometer,Rs6,RS6 Avant 5.0 V10 quattro,false,car,,,l_km_consumption
Coupé,green,,,,Zuzwil,,Ferrari,,92000.0,kilometer,456,456M GTA,false,car,,,l_km_consumption
Cabriolet,red,,,,Zuzwil,,Porsche,,9900.0,kilometer,911,911 Turbo S Cabrio,false,car,,,l_km_consumption
Cabriolet,black met.,,,,Zuzwil,,Porsche,,137700.0,kilometer,911,911 Carrera Cabrio,false,car,,,
Coupé,blue,,,,Zuzwil,,Porsche,,62900.0,kilometer,911,911 Turbo,false,car,,,l_km_consumption
Limousine,black met.,,,,Zuzwil,,Bmw,,65000.0,kilometer,740,740i,false,car,,,l_km_consumption
Coupé,silver met.,,,,Zuzwil,,Mercedes-benz,,61000.0,kilometer,Clk 320,CLK 320 Sport,false,car,,,l_km_consumption
Limousine,silver met.,,,,Zuzwil,,Bentley,,57000.0,kilometer,Arnage,Arnage T,false,car,,,
Coupé,silver met.,,,,Zuzwil,,Mercedes-benz,,79500.0,kilometer,Clk 55 amg,CLK 55 AMG Avantgarde,false,car,,,l_km_consumption
Cabriolet,green,,,,Zuzwil,,Bmw,,103600.0,kilometer,Z4,Z4 2.5i Roadster,false,car,,,l_km_consumption
Limousine,blue,,,,Zuzwil,,Bmw,,60700.0,kilometer,750,750i,false,car,,,l_km_consumption
Coupé,black met.,,,,Zuzwil,,Talbot,,40100.0,kilometer,,Sunbeam Lotus,false,car,,,
Coupé,silver met.,,,,Zuzwil,,Renault,,9999.0,kilometer,Alpine a110,1300S,false,car,,,
Limousine,white,,,,Zuzwil,,Audi,,94700.0,kilometer,A8,A8 4.2 quattro,false,car,,,l_km_consumption
Limousine,blue met.,,,,Zuzwil,,Mercedes-benz,,31400.0,kilometer,Cls 63 amg,CLS 63 AMG,false,car,,,l_km_consumption
Cabriolet,yellow,,,,Zuzwil,,Porsche,,28000.0,kilometer,911,911 Turbo S Cabrio PDK,false,car,,,l_km_consumption
Coupé,gray,,,,Zuzwil,,Chevrolet,,27700.0,kilometer,Corvette,null,false,car,,,
Limousine,green met.,,,,Porrentruy,,Mercedes-benz,,19900.0,kilometer,S 500,S 500 L,false,car,,,l_km_consumption
Kleinwagen,violet met.,,,,Zuzwil,,Renault,,77900.0,kilometer,R5,R5 1400 Alpine Turbo,false,car,,,
Kombi,blue met.,,,,Zuzwil,,Audi,,81000.0,kilometer,Rs6,RS6 Avant quattro,false,car,,,l_km_consumption
Cabriolet,blue met.,,,,Porrentruy,,Ferrari,,53500.0,kilometer,F430,F430 Spider,false,car,,,l_km_consumption
SUV / Geländewagen,anthrazit met.,,,,Zuzwil,,Land rover,,63200.0,kilometer,Range rover,Range Rover 4.4TD Vogue,false,car,,,l_km_consumption
Limousine,gray met.,,,,Zuzwil,,Vw,,1.0,kilometer,Beetle,New Beetle Cup,false,car,,,
Limousine,orange,,,,Zuzwil,,Maserati,,33600.0,kilometer,Quattroporte,Quattroporte 4.2 Exec. GT,false,car,,,l_km_consumption
Coupé,black met.,,,,Zuzwil,,Maserati,,45000.0,kilometer,Granturismo,GranTurismo S,false,car,,,l_km_consumption
SUV / Geländewagen,silver met.,,,,Zuzwil,,Bmw,,39200.0,kilometer,X1,X1 xDrive 25d Sport Line,false,car,,,l_km_consumption
Coupé,silver met.,,,,Zuzwil,,Bmw,,88000.0,kilometer,M3,M3 CSL,false,car,,,l_km_consumption
Coupé,silver met.,,,,Zuzwil,,Ferrari,,25000.0,kilometer,F360,F360 Modena Berlinetta,false,car,,,l_km_consumption
Limousine,gray met.,,,,Zuzwil,,Vw,,119000.0,kilometer,Phaeton,Phaeton 4.2 V8 4Motion,false,car,,,l_km_consumption
Coupé,red,,,,Zuzwil,,Porsche,,21100.0,kilometer,911,GT3 CS,false,car,,,
SUV / Geländewagen,black met.,,,,Zuzwil,,Jeep,,61000.0,kilometer,Grand cherokee,Grand Cherokee 5.2 Ltd.,false,car,,,l_km_consumption
Limousine,black met.,,,,Zuzwil,,Mercedes-benz,,110200.0,kilometer,450,SLC,false,car,,,
Coupé,silver met.,,,,Zuzwil,,Ferrari,,29000.0,kilometer,F355,F355 Berlinetta,false,car,,,l_km_consumption
Limousine,silver met.,,,,Zuzwil,,Mercedes-benz,,128800.0,kilometer,S 600,S 600 L,false,car,,,l_km_consumption
SUV / Geländewagen,white,,,,Zuzwil,,Mercedes-benz,,148300.0,kilometer,Ml 400,ML 400 CDI,false,car,,,l_km_consumption
Cabriolet,white met.,,,,Zuzwil,,Mercedes-benz,,70600.0,kilometer,Sl 320,SL 320,false,car,,,l_km_consumption
Cabriolet,yellow,,,,Zuzwil,,Chrysler,,28600.0,kilometer,Viper,Viper RT/10,false,car,,,
Limousine,gray met.,,,,Zuzwil,,Mercedes-benz,,128800.0,kilometer,S 500,S 500 L,false,car,,,l_km_consumption
Limousine,green met.,,,,Zuzwil,,Mercedes-benz,,75000.0,kilometer,E 430,E 430 Avantgarde,false,car,,,l_km_consumption
Limousine,beige met.,,,,Zuzwil,,Mercedes-benz,,19100.0,kilometer,Cls 63 amg,CLS 63 AMG,false,car,,,l_km_consumption
Limousine,red,,,,Zuzwil,,Mercedes-benz,,20100.0,kilometer,E 63 amg,E 63 AMG CGI,false,car,,,l_km_consumption
Coupé,red,,,,Zuzwil,,Renault,,82400.0,kilometer,Alpine,V6,false,car,,,
Cabriolet,black met.,,,,Zuzwil,,Porsche,,81900.0,kilometer,911,911 Carrera Cabrio,false,car,,,l_km_consumption
Coupé,black met.,,,,Zuzwil,,Lotus,,62200.0,kilometer,Europa,null,false,car,,,
Cabriolet,black met.,,,,Zuzwil,,Mercedes-benz,,70000.0,kilometer,Sl 600,SL 600,false,car,,,l_km_consumption
Cabriolet,silver met.,,,,Zuzwil,,Mercedes-benz,,24400.0,kilometer,Sl 500,SL 500,false,car,,,l_km_consumption
Cabriolet,gray met.,,,,Zuzwil,,Mercedes-benz,,106000.0,kilometer,Sl 500,SL 500,false,car,,,l_km_consumption
SUV / Geländewagen,green met.,,,,Zuzwil,,Land rover,,70000.0,kilometer,Range rover,Range Rover 4.6 HSE,false,car,,,l_km_consumption
SUV / Geländewagen,red,,,,Zuzwil,,Porsche,,78400.0,kilometer,Cayenne,Cayenne S,false,car,,,l_km_consumption
Coupé,black,,,,Zuzwil,,Porsche,,61400.0,kilometer,911,911 Carrera Jubilé 40,false,car,,,l_km_consumption
Cabriolet,black met.,,,,Zuzwil,,Mercedes-benz,,19400.0,kilometer,Slk 55 amg,SLK 55 AMG,false,car,,,l_km_consumption
Limousine,black met.,,,,Zuzwil,,Bentley,,21700.0,kilometer,Arnage,Arnage Red Label,false,car,,,l_km_consumption
Kombi,black met.,,,,Zuzwil,,Audi,,59000.0,kilometer,Rs6,RS6 Avant quattro,false,car,,,l_km_consumption
Limousine,silver met.,,,,Zuzwil,,Bmw,,31500.0,kilometer,M5,M5,false,car,,,l_km_consumption
SUV / Geländewagen,silver met.,,,,Zuzwil,,Land rover,,126300.0,kilometer,Range rover sport,Range Rover Sport 4.2 V8 SC,false,car,,,l_km_consumption
SUV / Geländewagen,white,,,,Zuzwil,,Porsche,,115000.0,kilometer,Cayenne,Cayenne S,false,car,,,l_km_consumption
Coupé,white,,,,Zuzwil,,Ferrari,,39000.0,kilometer,575m,575M,false,car,,,l_km_consumption
Limousine,gray met.,,,,Zuzwil,,Mercedes-benz,,112800.0,kilometer,S 500,S 500,false,car,,,l_km_consumption
Kombi,red,,,,Zuzwil,,Audi,,45000.0,kilometer,A6,A6 Avant 2.7 T Ambition,false,car,,,l_km_consumption
Coupé,blue,,,,Zuzwil,,Ferrari,,46500.0,kilometer,456,456M GT,false,car,,,l_km_consumption
Limousine,black,,,,Zuzwil,,Vw,,15900.0,kilometer,Phaeton,Phaeton 6.0 W12 4Motion,false,car,,,l_km_consumption
Limousine,black,,,,Zuzwil,,Bentley,,124900.0,kilometer,Brooklands,Brooklands,false,car,,,
Cabriolet,silver met.,,,,Zuzwil,,Pgo,,3000.0,kilometer,,Cevennes,false,car,,,
Cabriolet,red,,,,Zuzwil,,Mercedes-benz,,22100.0,kilometer,Sl 65 amg,SL 65 AMG,false,car,,,l_km_consumption
Cabriolet,black met.,,,,Zuzwil,,Mercedes-benz,,29100.0,kilometer,Sl 600,SL 600,false,car,,,l_km_consumption
Cabriolet,black met.,,,,Zuzwil,,Mercedes-benz,,34500.0,kilometer,Sl 55 amg,SL 55 AMG,false,car,,,l_km_consumption
Cabriolet,blue met.,,,,Zuzwil,,Mercedes-benz,,2400.0,kilometer,Slr,McLaren Roadster,false,car,,,
Limousine,yellow,,,,Zuzwil,,Mercedes-benz,,42000.0,kilometer,S 400,S 400 CDI,false,car,,,l_km_consumption
Limousine,gray met.,,,,Zuzwil,,Audi,,54500.0,kilometer,S6,S6 quattro 4.2,false,car,,,l_km_consumption
Limousine,blue,,,,Zuzwil,,Mercedes-benz,,51000.0,kilometer,Cls 500,CLS 500,false,car,,,l_km_consumption
Coupé,black,,,,Zuzwil,,Lamborghini,,49800.0,kilometer,Murciélago,Murciélago 6.2 Coupé,false,car,,,l_km_consumption
SUV / Geländewagen,black,,,,Zuzwil,,Porsche,,39000.0,kilometer,Cayenne,Cayenne Turbo,false,car,,,l_km_consumption
Cabriolet,black met.,,,,Zuzwil,,Mercedes-benz,,8900.0,kilometer,Sl 320,SL 320,false,car,,,l_km_consumption
Limousine,black met.,,,,Zuzwil,,Bmw,,18300.0,kilometer,740,740iL,false,car,,,l_km_consumption
Coupé,silver,,,,Zuzwil,,Porsche,,101300.0,kilometer,911,911 Turbo II,false,car,,,
Coupé,white,,,,Zuzwil,,Maserati,,95300.0,kilometer,Coupé gt,Coupé GT,false,car,,,l_km_consumption
Coupé,bordeaux met.,,,,Zuzwil,,Ferrari,,30300.0,kilometer,F360,F360 Modena Berlinetta,false,car,,,l_km_consumption
Limousine,green met.,,,,Zuzwil,,Mercedes-benz,,16660.0,kilometer,,CLK DTM AMG,false,car,,,
Kompaktvan / Minivan,black,,,,Zuzwil,,Mercedes-benz,,60500.0,kilometer,B 200,B 200 T Sailing Edition,false,car,,,l_km_consumption
SUV / Geländewagen,silver met.,,,,Zuzwil,,Porsche,,156000.0,kilometer,Cayenne,Cayenne Turbo,false,car,,,l_km_consumption
Limousine,blue met.,,,,Zuzwil,,Mercedes-benz,,35000.0,kilometer,E 55 amg,E 55 AMG Avantgarde,false,car,,,l_km_consumption
Cabriolet,green met.,,,,Zuzwil,,Mercedes-benz,,12900.0,kilometer,Sl 600,SL 600,false,car,,,l_km_consumption
Limousine,red,,,,Zuzwil,,Mercedes-benz,,29000.0,kilometer,E 63 amg,E 63 AMG,false,car,,,l_km_consumption
Kombi,red,,,,Zuzwil,,Audi,,38000.0,kilometer,Rs6,RS6 Avant 5.0 V10 quattro,false,car,,,l_km_consumption
Kombi,black,,,,Zuzwil,,Audi,,40900.0,kilometer,Rs6,RS6 Avant quattro,false,car,,,l_km_consumption
Coupé,black met.,,,,Zuzwil,,Porsche,,59500.0,kilometer,911,911 Turbo,false,car,,,l_km_consumption
Coupé,black met.,,,,Zuzwil,,Ferrari,,5000.0,kilometer,F430,Challenge GT3 LOOK,false,car,,,
Cabriolet,anthrazit met.,,,,Zuzwil,,Lotus,,38200.0,kilometer,Elise,Elise,false,car,,,l_km_consumption
Coupé,white,,,,Zuzwil,,Peugeot,,58950.0,kilometer,205,Turbo 16V,false,car,,,
Limousine,red,,,,Zuzwil,,Bentley,,62000.0,kilometer,Arnage,Arnage T,false,car,,,l_km_consumption
Limousine,black,,,,Zuzwil,,Mercedes-benz,,70700.0,kilometer,E 50 amg,E 50 AMG Avantgarde,false,car,,,l_km_consumption
SUV / Geländewagen,black met.,,,,Zuzwil,,Mercedes-benz,,16000.0,kilometer,Ml 430,ML 430,false,car,,,l_km_consumption
SUV / Geländewagen,anthrazit met.,,,,Zuzwil,,Bmw,,26500.0,kilometer,X5,X5 4.6is,false,car,,,l_km_consumption
Kombi,green,,,,Zuzwil,,Mercedes-benz,,44000.0,kilometer,E 420,E 420 Elégance,false,car,,,l_km_consumption
Coupé,black met.,,,,Zuzwil,,Porsche,,38200.0,kilometer,911,911 GT2,false,car,,,l_km_consumption
Limousine,silver met.,,,,Zuzwil,,Bmw-alpina,,129400.0,kilometer,7 series,B7 Turbo Limousine,false,car,,,
Cabriolet,silver met.,,,,Zuzwil,,Porsche,,21400.0,kilometer,911,911 Turbo Cabrio,false,car,,,l_km_consumption
Limousine,silver met.,,,,Zuzwil,,Mercedes-benz,,87800.0,kilometer,E 420,E 420 Avantgarde,false,car,,,l_km_consumption
Coupé,blue met.,,,,Zuzwil,,Mercedes-benz,,75100.0,kilometer,Cl 500,CL 500,false,car,,,l_km_consumption
Kombi,gray met.,,,,Zuzwil,,Land rover,,50400.0,kilometer,Defender,Defender 90 2.4Td4 SW,false,car,,,l_km_consumption
Cabriolet,red,,,,Zuzwil,,Ferrari,,58000.0,kilometer,F360,F360 Spider,false,car,,,l_km_consumption
Cabriolet,black met.,,,,Zuzwil,,Jaguar,,107100.0,kilometer,Xk,XKR S/C Convertible,false,car,,,l_km_consumption
Coupé,silver met.,,,,Zuzwil,,Mclaren,,1200.0,kilometer,12c,MP4-12C Coupé 3.8 V8,false,car,,,l_km_consumption
Coupé,gray met.,,,,Zuzwil,,Audi,,65000.0,kilometer,R8,R8 Coupé 4.2,false,car,,,l_km_consumption
Kombi,gray met.,,,,Zuzwil,,Audi,,14000.0,kilometer,Rs6,RS6 Avant 5.0 V10 quattro,false,car,,,l_km_consumption
Coupé,black,,,,Zuzwil,,Aston martin,,35500.0,kilometer,V8 vantage,V8 Vantage 4.3,false,car,,,l_km_consumption
Limousine,black met.,,,,Zuzwil,,Opel,,90600.0,kilometer,Vectra,Vectra 2.8 T V6 Cosmo,false,car,,,l_km_consumption
Kombi,black met.,,,,Zuzwil,,Audi,,48200.0,kilometer,Rs6,RS6 Avant 5.0 V10 quattro,false,car,,,l_km_consumption
Coupé,white,,,,Zuzwil,,Porsche,,30100.0,kilometer,911,911 Turbo,false,car,,,l_km_consumption
SUV / Geländewagen,white,,,,Zuzwil,,Porsche,,1000.0,kilometer,Cayenne,Cayenne S,false,car,,,l_km_consumption
Coupé,black,,,,Zuzwil,,Mercedes-benz,,62000.0,kilometer,S 600,S 600,false,car,,,
Limousine,black,,,,Zuzwil,,Maserati,,24300.0,kilometer,Quattroporte,Quattroporte 4.2 Sport GT,false,car,,,l_km_consumption
SUV / Geländewagen,blue,,,,Zuzwil,,Hummer,,127700.0,kilometer,H3,H3 3.5 Luxury,false,car,,,l_km_consumption
Coupé,black met.,,,,Zuzwil,,Maserati,,40600.0,kilometer,Ghibli,Ghibli 2.8 GT,false,car,,,
Cabriolet,silver met.,,,,Zuzwil,,Bmw,,5400.0,kilometer,650,650i xDrive,false,car,,,l_km_consumption
Coupé,anthrazit met.,,,,Zuzwil,,Mercedes-benz,,12100.0,kilometer,C 63 amg,BLACK SERIES (Coupé),false,car,,,
Cabriolet,gray met.,,,,Zuzwil,,Bentley,,58000.0,kilometer,Continental,Continental GTC 6.0,false,car,,,l_km_consumption
Limousine,gray met.,,,,Zuzwil,,Vw,,36300.0,kilometer,Golf,Golf 2.0 TSI R 4Motion,false,car,,,l_km_consumption
Cabriolet,blue,,,,Zuzwil,,Triumph,,38000.0,kilometer,Spitfire,MK IV,false,car,,,
Cabriolet,black,,,,Zuzwil,,Mercedes-benz,,45300.0,kilometer,Sl 600,SL 600,false,car,,,l_km_consumption
Kombi,black met.,,,,Zuzwil,,Audi,,66100.0,kilometer,A4,A4 Avant 3.0 V6 quattro,false,car,,,l_km_consumption
Limousine,black met.,,,,Zuzwil,,Mercedes-benz,,73700.0,kilometer,S 320,S 320,false,car,,,l_km_consumption
Coupé,silver met.,,,,Zuzwil,,Ferrari,,35000.0,kilometer,456,456M GT,false,car,,,l_km_consumption
Coupé,white,,,,Zuzwil,,Jaguar,,103000.0,kilometer,Xk,XKR S/C,false,car,,,l_km_consumption
Cabriolet,gray,,,,Zuzwil,,Mercedes-benz,,20000.0,kilometer,Sl 600,SL 600,false,car,,,l_km_consumption
Coupé,black,,,,Sursee,,Ferrari,,7000.0,kilometer,F40 / f50,null,false,car,,,
Coupé,black met.,,,,Zuzwil,,Mercedes-benz,,23000.0,kilometer,Sls 63,SLS 63 AMG,false,car,,,l_km_consumption
Coupé,silver met.,,,,Zuzwil,,Porsche,,82100.0,kilometer,911,911 Turbo,false,car,,,l_km_consumption
Limousine,silver met.,,,,Zuzwil,,Mercedes-benz,,48500.0,kilometer,E 430,E 430 Avantgarde,false,car,,,l_km_consumption
Coupé,anthrazit met.,,,,Zuzwil,,Lamborghini,,48000.0,kilometer,,Espada GT 400 Serie 3,false,car,,,
Cabriolet,gray,,,,Zuzwil,,Maserati,,63000.0,kilometer,Spyder gt,Spyder GT,false,car,,,l_km_consumption
Limousine,gray,,,,Zuzwil,,Lancia,,155000.0,kilometer,Delta,Delta HF Integrale Evo,false,car,,,
Cabriolet,gray met.,,,,Zuzwil,,Lotus,,26800.0,kilometer,Super seven,HKT,false,car,,,
Limousine,black,,,,Zuzwil,,Bmw,,111900.0,kilometer,750,750iL,false,car,,,l_km_consumption
Cabriolet,black met.,,,,Zuzwil,,Mercedes-benz,,300.0,kilometer,Slk 200,SLK 200 Kompressor,false,car,,,l_km_consumption
SUV / Geländewagen,silver met.,,,,Zuzwil,,Porsche,,400.0,kilometer,Cayenne,Cayenne Turbo S,false,car,,,l_km_consumption
Limousine,gray met.,,,,Zuzwil,,Bmw,,89200.0,kilometer,740,740i,false,car,,,
Limousine,red,,,,Zuzwil,,Bentley,,101500.0,kilometer,Mulsanne,Turbo,false,car,,,
Coupé,black met.,,,,Zuzwil,,Audi,,67700.0,kilometer,S5,S5 Coupé 4.2 FSI quattro,false,car,,,l_km_consumption
Limousine,silver met.,,,,Zuzwil,,Bmw,,93500.0,kilometer,2002,tii,false,car,,,
Cabriolet,silver met.,,,,Zuzwil,,Datsun,,23300.0,kilometer,,SPORTS 2000,false,car,,,
Limousine,silver met.,,,,Zuzwil,,Mercedes-benz,,52400.0,kilometer,E 55 amg,E 55 AMG Avantgarde,false,car,,,l_km_consumption
Coupé,silver met.,,,,Zuzwil,,Porsche,,49900.0,kilometer,911,911 GT2,false,car,,,l_km_consumption
Limousine,white,,,,Zuzwil,,Rolls-royce,,56000.0,kilometer,Phantom,Phantom 6.7 V12,false,car,,,l_km_consumption
Coupé,gray met.,,,,Zuzwil,,Mercedes-benz,,36000.0,kilometer,Clk 63 amg,CLK 63 AMG Black Series,false,car,,,l_km_consumption
Coupé,green met.,,,,Zuzwil,,Ferrari,,56500.0,kilometer,Mondial,Mondial 3.4 T,false,car,,,
Cabriolet,black met.,,,,Zuzwil,,Smart,,165000.0,kilometer,Fortwo,Fortwo passion,false,car,,,l_km_consumption
Coupé,silver,,,,Zuzwil,,Nissan,,162900.0,kilometer,200 sx,200 SX 1.8 16V Turbo,false,car,,,
Limousine,silver met.,,,,Zuzwil,,Bmw,,33900.0,kilometer,735,735i,false,car,,,l_km_consumption
Coupé,silver met.,,,,Zuzwil,,Porsche,,77000.0,kilometer,911,911 GT3,false,car,,,l_km_consumption
Wohnkabine,anthrazit met.,,,,Zuzwil,,Giottiline,,200.0,kilometer,,Therry T22,false,car,,,
Coupé,green met.,,,,Zuzwil,,Porsche,,47500.0,kilometer,911,911 Turbo,false,car,,,l_km_consumption
Cabriolet,black met.,,,,Zuzwil,,Rolls-royce,,47100.0,kilometer,Corniche,III,false,car,,,
Cabriolet,black met.,,,,Zuzwil,,Mercedes-benz,,45200.0,kilometer,Sl 55 amg,SL 55 AMG,false,car,,,l_km_consumption
Kombi,blue met.,,,,Zuzwil,,Audi,,57500.0,kilometer,Rs4,RS4 Avant quattro,false,car,,,l_km_consumption
Cabriolet,anthrazit met.,,,,Zuzwil,,Audi,,120200.0,kilometer,Cabriolet,Cabriolet 2.8 E,false,car,,,l_km_consumption
Cabriolet,gray,,,,Safenwil,,Austin-healey,,16900.0,kilometer,,100/Six BN6 Roadster,false,car,,,
Coupé,blue,,,,Zuzwil,,Mercedes-benz,,26400.0,kilometer,Slr,McLaren Coupé,false,car,,,
Coupé,black met.,,,,Zuzwil,,Porsche,,7000.0,kilometer,911,GT3 CUP,false,car,,,
Cabriolet,black met.,,,,Zuzwil,,Mercedes-benz,,96400.0,kilometer,Sl 600,SL 600,false,car,,,l_km_consumption
Coupé,silver met.,,,,Zuzwil,,Alfa romeo,,37000.0,kilometer,8c,Coupé,false,car,,,
Cabriolet,anthrazit met.,,,,Zuzwil,,Lamborghini,,16200.0,kilometer,Murciélago,Murciélago 6.2 Roadster,false,car,,,l_km_consumption
Limousine,red,,,,Zuzwil,,Jaguar,,95100.0,kilometer,Xj,XJR 4.0 V8 S/C,false,car,,,l_km_consumption
Limousine,black,,,,Zuzwil,,Volvo,,107000.0,kilometer,S40,S40 2.0 T,false,car,,,l_km_consumption
Cabriolet,black met.,,,,Zuzwil,,Bentley,,76200.0,kilometer,Continental,Continental GTC 6.0,false,car,,,l_km_consumption
Coupé,silver met.,,,,Zuzwil,,Lamborghini,,20800.0,kilometer,Murciélago,Murciélago LP670-4 SV Cpé,false,car,,,l_km_consumption
SUV / Geländewagen,silver met.,,,,Zuzwil,,Toyota,,5000.0,kilometer,Land cruiser,FJ 40,false,car,,,
Coupé,white,,,,Zuzwil,,Renault,,98600.0,kilometer,Alpine,Alpine V6 Turbo,false,car,,,
Kombi,green met.,,,,Zuzwil,,Audi,,42500.0,kilometer,Rs6,RS6 Avant 5.0 V10 quattro,false,car,,,l_km_consumption
Kombi,black,,,,Zuzwil,,Bmw,,120900.0,kilometer,530,530i Touring,false,car,,,l_km_consumption
Cabriolet,black,,,,Zuzwil,,Mercedes-benz,,70900.0,kilometer,Sl 320,SL 320,false,car,,,l_km_consumption
SUV / Geländewagen,black met.,,,,Zuzwil,,Bmw,,21800.0,kilometer,X5,X5 4.6is,false,car,,,l_km_consumption
Coupé,silver,,,,Sursee,,Ferrari,,8000.0,kilometer,365,Daytona Plexiglas,false,car,,,
Cabriolet,silver met.,,,,Sursee,,Mercedes-benz,,1000.0,kilometer,,300SL Roadster,false,car,,,
Kompaktvan / Minivan,white,,,,Zuzwil,,Renault,,145000.0,kilometer,Espace,Espace 2.0 T Privilège,false,car,,,l_km_consumption
Limousine,blue met.,,,,Zuzwil,,Bmw,,7990.0,kilometer,2002,Turbo,false,car,,,
Coupé,blue met.,,,,Zuzwil,,Bmw-alpina,,150200.0,kilometer,7 series,B7 Turbo Coupé,false,car,,,
Coupé,gray met.,,,,Zuzwil,,Toyota,,158000.0,kilometer,Celica,Celica 2800 i Supra,false,car,,,
Limousine,red,,,,Zuzwil,,Mercedes-benz,,132600.0,kilometer,E 420,E 420 Avantgarde,false,car,,,l_km_consumption
Limousine,bordeaux met.,,,,Zuzwil,,Audi,,60000.0,kilometer,A8,A8 4.2 quattro,false,car,,,l_km_consumption
Kompaktvan / Minivan,yellow,,,,Zuzwil,,Daewoo,,103000.0,kilometer,Tacuma,Tacuma 2000i CDX,false,car,,,l_km_consumption
Coupé,orange met.,,,,Zuzwil,,Porsche,,5000.0,kilometer,911,GT3 CUP Rennwagen,false,car,,,
Limousine,black,,,,Zuzwil,,Maserati,,56600.0,kilometer,Quattroporte,Quattroporte 4.2,false,car,,,l_km_consumption
Limousine,silver met.,,,,Zuzwil,,Bentley,,85700.0,kilometer,Arnage,Arnage Green Label,false,car,,,l_km_consumption
SUV / Geländewagen,silver met.,,,,Zuzwil,,Bmw,,91000.0,kilometer,X5,X5 4.4i,false,car,,,l_km_consumption
Coupé,silver met.,,,,Zuzwil,,Bmw,,79100.0,kilometer,645,645i,false,car,,,l_km_consumption
Coupé,violet met.,,,,Zuzwil,,Jaguar,,5300.0,kilometer,,D-Type XKD525,false,car,,,
Coupé,white,,,,Zuzwil,,Ferrari,,22000.0,kilometer,599,599 GTB,false,car,,,l_km_consumption
Limousine,green met.,,,,Zuzwil,,Nsu,,10352.0,kilometer,,TT,false,car,,,
