carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
Kombi,blue met.,,,,Zuzwil,,Audi,,64500.0,kilometer,Rs6,RS6 Avant quattro,false,car,,,l_km_consumption
Limousine,blue met.,,,,Zuzwil,,Mercedes-benz,,162000.0,kilometer,190,190 E 2.5-16 ABS,false,car,,,
Coupé,black,,,,Zuzwil,,Jaguar,,89666.0,kilometer,Xk,XKR S/C,false,car,,,l_km_consumption
Coupé,silver,,,,Zuzwil,,Aston martin,,40800.0,kilometer,Db9,DB9,false,car,,,l_km_consumption
Limousine,white,,,,Zuzwil,,Mercedes-benz,,46000.0,kilometer,S 63 amg,S 63 AMG L,false,car,,,l_km_consumption
Limousine,yellow,,,,Zuzwil,,Mercedes-benz,,128000.0,kilometer,S 320,S 320,false,car,,,l_km_consumption
Kleinwagen,gray met.,,,,Zuzwil,,Renault,,45000.0,kilometer,,R8 Gordini,false,car,,,
Coupé,black met.,,,,Zuzwil,,Lotus,,150.0,kilometer,Esprit,Esprit 3.5 V8 SE,false,car,,,l_km_consumption
Coupé,black met.,,,,Zuzwil,,Honda,,186000.0,kilometer,Accord,Accord Coupé V6 3.0i VTEC,false,car,,,l_km_consumption
Kombi,blue,,,,Zuzwil,,Audi,,43400.0,kilometer,Rs6,RS6 Avant quattro,false,car,,,l_km_consumption
Limousine,black,,,,Zuzwil,,Bmw,,99800.0,kilometer,525,525xi,false,car,,,l_km_consumption
Coupé,blue,,,,Zuzwil,,Alfa romeo,,75000.0,kilometer,Gtv,GTV 6 2.5,false,car,,,
Limousine,silver met.,,,,Zuzwil,,Bmw,,29900.0,kilometer,535,535d,false,car,,,l_km_consumption
Coupé,silver met.,,,,Zuzwil,,Lamborghini,,46700.0,kilometer,Diablo,Diablo 5.7 VT,false,car,,,
Limousine,white,,,,Zuzwil,,Porsche,,30300.0,kilometer,Panamera,Panamera Turbo 4.8,false,car,,,l_km_consumption
Limousine,white met.,,,,Zuzwil,,Mercedes-benz,,99000.0,kilometer,A 150,A 150 Classic,false,car,,,l_km_consumption
Coupé,anthrazit met.,,,,Zuzwil,,Renault,,19200.0,kilometer,Alpine a110,1600S Gruppe 5 look,false,car,,,
Cabriolet,black met.,,,,Porrentruy,,Lamborghini,,1999.0,kilometer,Aventador,Aventador LP700-4 Rds,false,car,,,l_km_consumption
Cabriolet,silver met.,,,,Zuzwil,,Ferrari,,41000.0,kilometer,F360,F360 Spider,false,car,,,l_km_consumption
Limousine,silver met.,,,,Zuzwil,,Bmw-alpina,,54100.0,kilometer,3 series,B3 3.3 S,false,car,,,l_km_consumption
Limousine,white,,,,Zuzwil,,Mercedes-benz,,62300.0,kilometer,S 500,S 500 4Matic,false,car,,,l_km_consumption
Coupé,blue met.,,,,Zuzwil,,Ferrari,,8000.0,kilometer,F360,F360 Modena Berlinetta,false,car,,,l_km_consumption
Coupé,black met.,,,,Zuzwil,,Toyota,,54100.0,kilometer,Celica,Celica 2800 i Supra,false,car,,,
Coupé,blue,,,,Zuzwil,,Mercedes-benz,,29500.0,kilometer,Cl 600,CL 600,false,car,,,l_km_consumption
SUV / Geländewagen,black met.,,,,Zuzwil,,Jeep,,126200.0,kilometer,Grand cherokee,Grand Cherokee 4.0 Ltd.,false,car,,,l_km_consumption
Coupé,silver,,,,Zuzwil,,Porsche,,47900.0,kilometer,911,911 GT3,false,car,,,l_km_consumption
Limousine,silver met.,,,,Zuzwil,,Mercedes-benz,,61000.0,kilometer,S 65 amg,S 65 L AMG 650PS,false,car,,,l_km_consumption
Cabriolet,silver met.,,,,Sursee,,Lamborghini,,150.0,kilometer,Aventador,Aventador LP700-4 Rds,false,car,,,l_km_consumption
Coupé,white,,,,Zuzwil,,Mercedes-benz,,12200.0,kilometer,Cl 600,CL 600,false,car,,,l_km_consumption
Cabriolet,blue met.,,,,Zuzwil,,Mercedes-benz,,32500.0,kilometer,,CLK DTM AMG,false,car,,,
SUV / Geländewagen,anthrazit met.,,,,Zuzwil,,Porsche,,36700.0,kilometer,Cayenne,Cayenne Turbo,false,car,,,l_km_consumption
Coupé,red,,,,Zuzwil,,Bmw,,127800.0,kilometer,M3,M3,false,car,,,l_km_consumption
Cabriolet,black,,,,Zuzwil,,Mercedes-benz,,43300.0,kilometer,Sl 55 amg,SL 55 AMG,false,car,,,l_km_consumption
Cabriolet,black met.,,,,Zuzwil,,Mercedes-benz,,97000.0,kilometer,Sl-class,500 SL,false,car,,,
Coupé,black met.,,,,Zuzwil,,Lamborghini,,36700.0,kilometer,Gallardo,Gallardo 5.0 V10 Coupé,false,car,,,l_km_consumption
Coupé,silver,,,,Zuzwil,,Mercedes-benz,,34000.0,kilometer,Sl 65 amg,BLACK SERIES,false,car,,,
Limousine,silver met.,,,,Zuzwil,,Lancia,,57000.0,kilometer,,Monte Carlo 137 AS,false,car,,,
Limousine,blue met.,,,,Zuzwil,,Mercedes-benz,,48000.0,kilometer,S 500,S 500,false,car,,,l_km_consumption
Limousine,gray met.,,,,Zuzwil,,Bmw,,67800.0,kilometer,530 gran turismo,530d GT,false,car,,,l_km_consumption
Limousine,black met.,,,,Zuzwil,,Bmw,,171000.0,kilometer,M5,M5,false,car,,,l_km_consumption
Cabriolet,black met.,,,,Porrentruy,,Lamborghini,,13960.0,kilometer,Diablo,Diablo 5.7 VT Roadster,false,car,,,l_km_consumption
Kombi,blue,,,,Zuzwil,,Audi,,88600.0,kilometer,Rs6,RS6 Avant quattro,false,car,,,l_km_consumption
SUV / Geländewagen,black met.,,,,Zuzwil,,Land rover,,15000.0,kilometer,Range rover sport,Range Rover Sport 5.0 V8 SC,false,car,,,l_km_consumption
Cabriolet,black met.,,,,Zuzwil,,Mercedes-benz,,108100.0,kilometer,Sl 600,SL 600,false,car,,,
Cabriolet,blue met.,,,,Zuzwil,,Mercedes-benz,,3200.0,kilometer,Slk 350,SLK 350,false,car,,,l_km_consumption
Cabriolet,anthrazit met.,,,,Zuzwil,,Mercedes-benz,,47000.0,kilometer,Sl 55 amg,SL 55 AMG,false,car,,,l_km_consumption
Limousine,yellow,,,,Zuzwil,,Mercedes-benz,,89700.0,kilometer,190,190 E 2.5-16 Evo II ABS,false,car,,,
Coupé,gold met.,,,,Zuzwil,,Ruf,,46000.0,kilometer,,CTR,false,car,,,
Limousine,white,,,,Safenwil,,Mini,,44300.0,kilometer,Mini,1000,false,car,,,
Cabriolet,green met.,,,,Zuzwil,,Mercedes-benz,,43200.0,kilometer,Slk 320,SLK 320,false,car,,,l_km_consumption
Limousine,black,,,,Zuzwil,,Mercedes-benz,,63400.0,kilometer,E 55 amg,E 55 AMG Avantgarde,false,car,,,l_km_consumption
SUV / Geländewagen,black met.,,,,Zuzwil,,Nissan,,54500.0,kilometer,Murano,Murano 3.5 V6,false,car,,,l_km_consumption
SUV / Geländewagen,black met.,,,,Zuzwil,,Porsche,,69500.0,kilometer,Cayenne,Cayenne Turbo,false,car,,,l_km_consumption
Cabriolet,silver met.,,,,Zuzwil,,Mercedes-benz,,98000.0,kilometer,Sl 500,6.0 AMG,false,car,,,
