id,TypeName,TypeNameFull,ModelText,ModelTypeText,Properties,InteriorColorText,ConsumptionRatingText,Km,TransmissionTypeText,Seats,DriveTypeText,City,Ccm,FirstRegMonth,FirstRegYear,FuelTypeText,Co2EmissionText,Hp,Doors,BodyTypeText,ConditionTypeText,color,transmissionType,make,extracted-value-ConsumptionTotalText,extracted-unit-ConsumptionTotalText
815.0,BLACK SERIES,MERCEDES-BENZ C 63 AMG BLACK SERIES,C 63 AMG,C 63 AMG BLACK SERIES,"\"Ab MFK\"",schwarz,null,500,Automatik-Getriebe,2,Hinterradantrieb,Zuzwil,6208,3,2012,Benzin,null,517,2,,Coupé,black met.,null,Mercedes-benz,null,
1058.0,Murciélago 6.2 Coupé,LAMBORGHINI Murciélago 6.2 Coupé,MURCIÉLAGO,Murciélago 6.2 Coupé,"\"Ab MFK\"",null,G,9000,Schaltgetriebe manuell,2,Allrad,Porrentruy,6192,2,2003,Benzin,500 g/km,580,2,,Coupé,silver met.,manual,Lamborghini,21.5,l/100km
1093.0,911 Turbo S Cabrio,PORSCHE 911 Turbo S Cabrio,911,911 Turbo S Cabrio,"\"Ab MFK\"",mehrfarbig,G,14000,Automatisiertes Schaltgetriebe,2,Allrad,Zuzwil,3800,7,2011,Benzin,270 g/km,530,2,,Cabriolet,white,automatic,Porsche,11.5,l/100km
127.0,RS6 Avant quattro,AUDI RS6 Avant quattro,RS6,RS6 Avant quattro,"\"Ab MFK\"",schwarz,G,64500,Automat sequentiell,5,Allrad,Zuzwil,4172,5,2003,Benzin,350 g/km,450,5,,Kombi,blue met.,null,Audi,14.6,l/100km
145.0,190 E 2.5-16 ABS,MERCEDES-BENZ 190 E 2.5-16 ABS,190,190 E 2.5-16 ABS,null,schwarz,null,162000,Schaltgetriebe manuell,5,Hinterradantrieb,Zuzwil,2497,10,1990,Benzin,null,195,4,,Limousine,blue met.,manual,Mercedes-benz,null,
598.0,XKR S/C,JAGUAR XKR S/C,XK,XKR S/C,"\"Ab MFK\"",weiss,G,89666,Automat,4,Hinterradantrieb,Zuzwil,3996,5,1999,Benzin,340 g/km,363,2,,Coupé,black,automatic,Jaguar,12.6,l/100km
854.0,DB9,ASTON MARTIN DB9,DB9,DB9,"\"Ab MFK\"",schwarz,G,40800,Automat sequentiell,4,Hinterradantrieb,Zuzwil,5935,1,2005,Benzin,394 g/km,457,2,,Coupé,silver,null,Aston martin,16.5,l/100km
1098.0,S 63 AMG L,MERCEDES-BENZ S 63 AMG L,S 63 AMG,S 63 AMG L,"\"Ab MFK\"",schwarz,G,46000,Automat sequentiell,5,Hinterradantrieb,Zuzwil,6209,4,2008,Benzin,355 g/km,525,4,,Limousine,white,null,Mercedes-benz,14.9,l/100km
231.0,S 320,MERCEDES-BENZ S 320,S 320,S 320,"\"Ab MFK\"",schwarz,G,128000,Automat,5,Hinterradantrieb,Zuzwil,3199,4,1999,Benzin,276 g/km,224,4,,Limousine,yellow,automatic,Mercedes-benz,11.5,l/100km
310.0,R8 Gordini,RENAULT R8 Gordini,,R8 Gordini,"\"Ab MFK\"",schwarz,null,45000,Schaltgetriebe,0,null,Zuzwil,0,4,1969,null,null,0,0,,Kleinwagen,gray met.,manual,Renault,null,
683.0,Esprit 3.5 V8 SE,LOTUS Esprit 3.5 V8 SE,ESPRIT,Esprit 3.5 V8 SE,"\"Ab MFK\"",null,G,150,Schaltgetriebe manuell,2,Hinterradantrieb,Zuzwil,3506,6,2002,Benzin,366 g/km,354,2,,Coupé,black met.,manual,Lotus,15.7,l/100km
806.0,Accord Coupé V6 3.0i VTEC,HONDA Accord Coupé V6 3.0i VTEC,ACCORD,Accord Coupé V6 3.0i VTEC,"\"Ab MFK\"",anthrazit,G,186000,Automat,5,Vorderradantrieb,Zuzwil,2997,7,1998,Benzin,253 g/km,200,2,,Coupé,black met.,automatic,Honda,10.7,l/100km
50.0,RS6 Avant quattro,AUDI RS6 Avant quattro,RS6,RS6 Avant quattro,"\"Ab MFK\"",schwarz,G,43400,Automat sequentiell,5,Allrad,Zuzwil,4172,5,2003,Benzin,350 g/km,450,5,,Kombi,blue,null,Audi,14.6,l/100km
538.0,525xi,BMW 525xi,525,525xi,"\"Ab MFK\"",schwarz,G,99800,Schaltgetriebe manuell,5,Allrad,Zuzwil,2497,1,2007,Benzin,232 g/km,218,4,,Limousine,black,manual,Bmw,9.6,l/100km
75.0,GTV 6 2.5,ALFA ROMEO GTV 6 2.5,GTV,GTV 6 2.5,null,schwarz,null,75000,Schaltgetriebe manuell,4,Hinterradantrieb,Zuzwil,2492,8,1984,Benzin,null,160,3,,Coupé,blue,manual,Alfa romeo,null,
912.0,535d,BMW 535d,535,535d,"\"Ab MFK\"",grau,G,29900,Automat sequentiell,5,Hinterradantrieb,Zuzwil,2993,1,2006,Diesel,211 g/km,272,4,,Limousine,silver met.,null,Bmw,8.0,l/100km
996.0,Diablo 5.7 VT,LAMBORGHINI Diablo 5.7 VT,DIABLO,Diablo 5.7 VT,"\"Ab MFK\"",null,null,46700,Schaltgetriebe manuell,2,Allrad,Zuzwil,5707,6,1993,Benzin,null,492,2,,Coupé,silver met.,manual,Lamborghini,null,
1107.0,Panamera Turbo 4.8,PORSCHE Panamera Turbo 4.8,PANAMERA,Panamera Turbo 4.8,"\"Ab MFK\"",mehrfarbig,G,30300,Automatisiertes Schaltgetriebe,4,Allrad,Zuzwil,4806,9,2009,Benzin,286 g/km,500,5,,Limousine,white,automatic,Porsche,12.2,l/100km
1151.0,A 150 Classic,MERCEDES-BENZ A 150 Classic,A 150,A 150 Classic,"\"Ab MFK\"",anthrazit,F,99000,Schaltgetriebe manuell,5,Vorderradantrieb,Zuzwil,1498,10,2005,Benzin,159 g/km,95,3,,Limousine,white met.,manual,Mercedes-benz,6.7,l/100km
22.0,1600S Gruppe 5 look,RENAULT Alpine A110 1600S Gruppe 5 look,Alpine A110,Alpine A110 1600S Gruppe 5 look,"\"Rennwagen\"",schwarz,null,19200,Schaltgetriebe,2,Hinterradantrieb,Zuzwil,1565,1,1971,null,null,170,2,,Coupé,anthrazit met.,manual,Renault,null,
669.0,Aventador LP700-4 Rds,LAMBORGHINI Aventador LP700-4 Rds,AVENTADOR,Aventador LP700-4 Rds,"\"Ab MFK\"",rot,G,1999,Automatisiertes Schaltgetriebe,2,Allrad,Porrentruy,6498,3,2014,Benzin,370 g/km,700,2,,Cabriolet,black met.,automatic,Lamborghini,16.0,l/100km
891.0,F360 Spider,FERRARI F360 Spider,F360,F360 Spider,"\"Ab MFK\"",schwarz,G,41000,Automatisiertes Schaltgetriebe,2,Hinterradantrieb,Zuzwil,3586,5,2001,Benzin,440 g/km,400,2,,Cabriolet,silver met.,automatic,Ferrari,19.3,l/100km
973.0,B3 3.3 S,BMW-ALPINA B3 3.3 S,3 SERIES,B3 3.3 S,"\"Ab MFK\"",schwarz,G,54100,Schaltgetriebe manuell,5,Hinterradantrieb,Zuzwil,3346,2,2003,Benzin,268 g/km,305,4,,Limousine,silver met.,manual,Bmw-alpina,11.2,l/100km
1100.0,S 500 4Matic,MERCEDES-BENZ S 500 4Matic,S 500,S 500 4Matic,"\"Ab MFK\"",schwarz,G,62300,Automat sequentiell,5,Allrad,Zuzwil,5461,11,2006,Benzin,296 g/km,388,4,,Limousine,white,null,Mercedes-benz,12.6,l/100km
